rank,recurrent_set_id,member_count,occurrence_count,total_accept_set_count,accept_set_frequency,supporting_k_count,supporting_ks,supporting_run_count,usable_run_count,run_support_frequency,member_ids
43,RS043,43,3,27,0.1111111111111111,2,"[2, 3]",3,19,0.15789473684210525,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-B8-4148"", ""TCGA-B8-4622"", ""TCGA-B8-5159"", ""TCGA-B8-5162"", ""TCGA-B8-5165"", ""TCGA-B8-5549"", ""TCGA-BP-4965"", ""TCGA-BP-4967"", ""TCGA-BP-4970"", ""TCGA-BP-4972"", ""TCGA-BP-4976"", ""TCGA-BP-4977"", ""TCGA-BP-4982"", ""TCGA-BP-4986"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5174"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5189"", ""TCGA-BP-5192"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5196"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CZ-4859"", ""TCGA-CZ-5451"", ""TCGA-CZ-5984""]"
44,RS044,38,3,27,0.1111111111111111,2,"[4, 5]",3,19,0.15789473684210525,"[""TCGA-B0-4712"", ""TCGA-B0-5081"", ""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5696"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-B8-4148"", ""TCGA-B8-4622"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CJ-6033"", ""TCGA-CZ-4859"", ""TCGA-CZ-5451"", ""TCGA-G6-A8L7""]"
45,RS045,34,3,27,0.1111111111111111,2,"[4, 6]",3,19,0.15789473684210525,"[""TCGA-B0-4712"", ""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5189"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CJ-6033"", ""TCGA-CZ-4859"", ""TCGA-G6-A8L7""]"
46,RS046,34,3,27,0.1111111111111111,2,"[2, 5]",3,19,0.15789473684210525,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-B8-4148"", ""TCGA-B8-4622"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CZ-4859"", ""TCGA-CZ-5451""]"
47,RS047,33,3,27,0.1111111111111111,2,"[2, 6]",3,19,0.15789473684210525,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4972"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5189"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CZ-4859""]"
48,RS048,30,3,27,0.1111111111111111,3,"[3, 5, 6]",3,19,0.15789473684210525,"[""TCGA-B0-4821"", ""TCGA-B0-5088"", ""TCGA-B0-5106"", ""TCGA-B0-5117"", ""TCGA-B0-5697"", ""TCGA-B0-5698"", ""TCGA-B0-5706"", ""TCGA-B0-5712"", ""TCGA-B8-4151"", ""TCGA-B8-4153"", ""TCGA-B8-4619"", ""TCGA-B8-5158"", ""TCGA-B8-5164"", ""TCGA-B8-5546"", ""TCGA-B8-5550"", ""TCGA-B8-5553"", ""TCGA-B8-A54D"", ""TCGA-B8-A54E"", ""TCGA-B8-A54F"", ""TCGA-B8-A54G"", ""TCGA-BP-4770"", ""TCGA-BP-4782"", ""TCGA-BP-4994"", ""TCGA-BP-5000"", ""TCGA-BP-5190"", ""TCGA-CZ-4863"", ""TCGA-CZ-4865"", ""TCGA-CZ-5462"", ""TCGA-CZ-5468"", ""TCGA-CZ-5988""]"
49,RS049,30,3,27,0.1111111111111111,2,"[3, 4]",3,19,0.15789473684210525,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5696"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-B8-4148"", ""TCGA-B8-4622"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5189"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5200"", ""TCGA-CZ-4859"", ""TCGA-CZ-5451""]"
50,RS050,17,3,27,0.1111111111111111,3,"[4, 5, 8]",3,19,0.15789473684210525,"[""TCGA-B0-5088"", ""TCGA-B0-5702"", ""TCGA-B0-5709"", ""TCGA-B8-5551"", ""TCGA-BP-4167"", ""TCGA-BP-4962"", ""TCGA-BP-4971"", ""TCGA-BP-4992"", ""TCGA-BP-5175"", ""TCGA-CJ-4637"", ""TCGA-CJ-4641"", ""TCGA-CJ-4923"", ""TCGA-CJ-6027"", ""TCGA-CJ-6028"", ""TCGA-CJ-6030"", ""TCGA-CZ-5985"", ""TCGA-G6-A5PC""]"
51,RS051,15,3,27,0.1111111111111111,3,"[3, 5, 7]",3,19,0.15789473684210525,"[""TCGA-B0-4821"", ""TCGA-B0-5117"", ""TCGA-B8-4619"", ""TCGA-B8-5546"", ""TCGA-B8-A54E"", ""TCGA-B8-A54F"", ""TCGA-BP-4770"", ""TCGA-BP-4782"", ""TCGA-BP-4994"", ""TCGA-BP-5000"", ""TCGA-BP-5189"", ""TCGA-BP-5190"", ""TCGA-CZ-4865"", ""TCGA-CZ-5468"", ""TCGA-CZ-5988""]"
52,RS052,15,3,27,0.1111111111111111,3,"[5, 6, 7]",3,19,0.15789473684210525,"[""TCGA-B0-4821"", ""TCGA-B0-5117"", ""TCGA-B8-4619"", ""TCGA-B8-5546"", ""TCGA-B8-A54E"", ""TCGA-B8-A54F"", ""TCGA-BP-4770"", ""TCGA-BP-4782"", ""TCGA-BP-4994"", ""TCGA-BP-5000"", ""TCGA-BP-5190"", ""TCGA-BP-5191"", ""TCGA-CZ-4865"", ""TCGA-CZ-5468"", ""TCGA-CZ-5988""]"
53,RS053,15,3,27,0.1111111111111111,3,"[5, 7, 8]",3,19,0.15789473684210525,"[""TCGA-B0-4821"", ""TCGA-B0-5117"", ""TCGA-B8-4619"", ""TCGA-B8-5546"", ""TCGA-B8-A54E"", ""TCGA-BP-4770"", ""TCGA-BP-4782"", ""TCGA-BP-4994"", ""TCGA-BP-5000"", ""TCGA-BP-5189"", ""TCGA-BP-5190"", ""TCGA-BP-5191"", ""TCGA-CZ-4865"", ""TCGA-CZ-5468"", ""TCGA-CZ-5988""]"
54,RS054,15,3,27,0.1111111111111111,3,"[3, 6, 8]",3,19,0.15789473684210525,"[""TCGA-B0-5106"", ""TCGA-B0-5696"", ""TCGA-B0-5697"", ""TCGA-B0-5698"", ""TCGA-B0-5706"", ""TCGA-B0-5712"", ""TCGA-B8-4148"", ""TCGA-B8-4151"", ""TCGA-B8-4153"", ""TCGA-B8-5158"", ""TCGA-B8-5164"", ""TCGA-B8-5550"", ""TCGA-B8-5553"", ""TCGA-B8-A54F"", ""TCGA-CZ-4863""]"
55,RS055,48,2,27,0.07407407407407407,1,[2],2,19,0.10526315789473684,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-B8-4148"", ""TCGA-B8-4622"", ""TCGA-B8-5159"", ""TCGA-B8-5162"", ""TCGA-B8-5165"", ""TCGA-B8-5549"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4967"", ""TCGA-BP-4970"", ""TCGA-BP-4972"", ""TCGA-BP-4976"", ""TCGA-BP-4977"", ""TCGA-BP-4982"", ""TCGA-BP-4986"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5174"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5189"", ""TCGA-BP-5192"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5196"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CZ-4859"", ""TCGA-CZ-5451"", ""TCGA-CZ-5984""]"
56,RS056,39,2,27,0.07407407407407407,1,[4],2,19,0.10526315789473684,"[""TCGA-B0-4712"", ""TCGA-B0-5081"", ""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5696"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-B8-4148"", ""TCGA-B8-4622"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5189"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CJ-6033"", ""TCGA-CZ-4859"", ""TCGA-CZ-5451"", ""TCGA-G6-A8L7""]"
57,RS057,34,2,27,0.07407407407407407,2,"[5, 6]",2,19,0.10526315789473684,"[""TCGA-B0-4712"", ""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CJ-6033"", ""TCGA-CZ-4859"", ""TCGA-G6-A8L7""]"
58,RS058,34,2,27,0.07407407407407407,2,"[3, 6]",2,19,0.10526315789473684,"[""TCGA-B0-4821"", ""TCGA-B0-5088"", ""TCGA-B0-5106"", ""TCGA-B0-5117"", ""TCGA-B0-5696"", ""TCGA-B0-5697"", ""TCGA-B0-5698"", ""TCGA-B0-5706"", ""TCGA-B0-5712"", ""TCGA-B8-4148"", ""TCGA-B8-4151"", ""TCGA-B8-4153"", ""TCGA-B8-4619"", ""TCGA-B8-4622"", ""TCGA-B8-5158"", ""TCGA-B8-5164"", ""TCGA-B8-5546"", ""TCGA-B8-5550"", ""TCGA-B8-5553"", ""TCGA-B8-A54D"", ""TCGA-B8-A54E"", ""TCGA-B8-A54F"", ""TCGA-B8-A54G"", ""TCGA-BP-4770"", ""TCGA-BP-4782"", ""TCGA-BP-4994"", ""TCGA-BP-5000"", ""TCGA-BP-5190"", ""TCGA-CZ-4863"", ""TCGA-CZ-4865"", ""TCGA-CZ-5451"", ""TCGA-CZ-5462"", ""TCGA-CZ-5468"", ""TCGA-CZ-5988""]"
59,RS059,32,2,27,0.07407407407407407,2,"[3, 5]",2,19,0.10526315789473684,"[""TCGA-B0-4821"", ""TCGA-B0-5088"", ""TCGA-B0-5106"", ""TCGA-B0-5117"", ""TCGA-B0-5697"", ""TCGA-B0-5698"", ""TCGA-B0-5706"", ""TCGA-B0-5712"", ""TCGA-B8-4151"", ""TCGA-B8-4153"", ""TCGA-B8-4619"", ""TCGA-B8-5158"", ""TCGA-B8-5164"", ""TCGA-B8-5546"", ""TCGA-B8-5550"", ""TCGA-B8-5553"", ""TCGA-B8-A54D"", ""TCGA-B8-A54E"", ""TCGA-B8-A54F"", ""TCGA-B8-A54G"", ""TCGA-BP-4770"", ""TCGA-BP-4782"", ""TCGA-BP-4972"", ""TCGA-BP-4994"", ""TCGA-BP-5000"", ""TCGA-BP-5189"", ""TCGA-BP-5190"", ""TCGA-CZ-4863"", ""TCGA-CZ-4865"", ""TCGA-CZ-5462"", ""TCGA-CZ-5468"", ""TCGA-CZ-5988""]"
60,RS060,31,2,27,0.07407407407407407,2,"[5, 6]",2,19,0.10526315789473684,"[""TCGA-B0-4821"", ""TCGA-B0-5088"", ""TCGA-B0-5106"", ""TCGA-B0-5117"", ""TCGA-B0-5697"", ""TCGA-B0-5698"", ""TCGA-B0-5706"", ""TCGA-B0-5712"", ""TCGA-B8-4151"", ""TCGA-B8-4153"", ""TCGA-B8-4619"", ""TCGA-B8-5158"", ""TCGA-B8-5164"", ""TCGA-B8-5546"", ""TCGA-B8-5550"", ""TCGA-B8-5553"", ""TCGA-B8-A54D"", ""TCGA-B8-A54E"", ""TCGA-B8-A54F"", ""TCGA-B8-A54G"", ""TCGA-BP-4770"", ""TCGA-BP-4782"", ""TCGA-BP-4994"", ""TCGA-BP-5000"", ""TCGA-BP-5190"", ""TCGA-BP-5191"", ""TCGA-CZ-4863"", ""TCGA-CZ-4865"", ""TCGA-CZ-5462"", ""TCGA-CZ-5468"", ""TCGA-CZ-5988""]"
61,RS061,30,2,27,0.07407407407407407,2,"[3, 5]",2,19,0.10526315789473684,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5696"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-B8-4148"", ""TCGA-B8-4622"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CZ-4859"", ""TCGA-CZ-5451""]"
62,RS062,20,2,27,0.07407407407407407,2,"[5, 8]",2,19,0.10526315789473684,"[""TCGA-B0-5088"", ""TCGA-B0-5702"", ""TCGA-B0-5709"", ""TCGA-B8-5551"", ""TCGA-B8-A54D"", ""TCGA-B8-A54G"", ""TCGA-BP-4167"", ""TCGA-BP-4962"", ""TCGA-BP-4971"", ""TCGA-BP-4992"", ""TCGA-BP-5175"", ""TCGA-CJ-4637"", ""TCGA-CJ-4641"", ""TCGA-CJ-4923"", ""TCGA-CJ-6027"", ""TCGA-CJ-6028"", ""TCGA-CJ-6030"", ""TCGA-CZ-5462"", ""TCGA-CZ-5985"", ""TCGA-G6-A5PC""]"
63,RS063,19,2,27,0.07407407407407407,2,"[3, 4]",2,19,0.10526315789473684,"[""TCGA-B0-5702"", ""TCGA-B0-5709"", ""TCGA-B8-5551"", ""TCGA-BP-4167"", ""TCGA-BP-4962"", ""TCGA-BP-4971"", ""TCGA-BP-4992"", ""TCGA-BP-5010"", ""TCGA-BP-5175"", ""TCGA-CJ-4637"", ""TCGA-CJ-4641"", ""TCGA-CJ-4900"", ""TCGA-CJ-4902"", ""TCGA-CJ-4923"", ""TCGA-CJ-6027"", ""TCGA-CJ-6028"", ""TCGA-CJ-6030"", ""TCGA-CZ-5985"", ""TCGA-G6-A5PC""]"
64,RS064,18,2,27,0.07407407407407407,2,"[4, 5]",2,19,0.10526315789473684,"[""TCGA-B0-5088"", ""TCGA-B0-5702"", ""TCGA-B0-5709"", ""TCGA-B8-5551"", ""TCGA-BP-4167"", ""TCGA-BP-4962"", ""TCGA-BP-4971"", ""TCGA-BP-4992"", ""TCGA-BP-5175"", ""TCGA-CJ-4637"", ""TCGA-CJ-4641"", ""TCGA-CJ-4900"", ""TCGA-CJ-4923"", ""TCGA-CJ-6027"", ""TCGA-CJ-6028"", ""TCGA-CJ-6030"", ""TCGA-CZ-5985"", ""TCGA-G6-A5PC""]"
65,RS065,18,2,27,0.07407407407407407,2,"[3, 5]",2,19,0.10526315789473684,"[""TCGA-B0-5702"", ""TCGA-B0-5709"", ""TCGA-B8-5551"", ""TCGA-BP-4167"", ""TCGA-BP-4962"", ""TCGA-BP-4971"", ""TCGA-BP-4992"", ""TCGA-BP-5175"", ""TCGA-BP-5191"", ""TCGA-CJ-4637"", ""TCGA-CJ-4641"", ""TCGA-CJ-4900"", ""TCGA-CJ-4923"", ""TCGA-CJ-6027"", ""TCGA-CJ-6028"", ""TCGA-CJ-6030"", ""TCGA-CZ-5985"", ""TCGA-G6-A5PC""]"
66,RS066,16,2,27,0.07407407407407407,2,"[5, 7]",2,19,0.10526315789473684,"[""TCGA-B0-4821"", ""TCGA-B0-5117"", ""TCGA-B8-4619"", ""TCGA-B8-5546"", ""TCGA-B8-A54E"", ""TCGA-B8-A54F"", ""TCGA-BP-4770"", ""TCGA-BP-4782"", ""TCGA-BP-4994"", ""TCGA-BP-5000"", ""TCGA-BP-5189"", ""TCGA-BP-5190"", ""TCGA-BP-5191"", ""TCGA-CZ-4865"", ""TCGA-CZ-5468"", ""TCGA-CZ-5988""]"
67,RS067,16,2,27,0.07407407407407407,2,"[6, 8]",2,19,0.10526315789473684,"[""TCGA-B0-5081"", ""TCGA-B0-5106"", ""TCGA-B0-5696"", ""TCGA-B0-5697"", ""TCGA-B0-5698"", ""TCGA-B0-5706"", ""TCGA-B0-5712"", ""TCGA-B8-4148"", ""TCGA-B8-4151"", ""TCGA-B8-4153"", ""TCGA-B8-5158"", ""TCGA-B8-5164"", ""TCGA-B8-5550"", ""TCGA-B8-5553"", ""TCGA-B8-A54F"", ""TCGA-CZ-4863""]"
68,RS068,14,2,27,0.07407407407407407,2,"[5, 6]",2,19,0.10526315789473684,"[""TCGA-B8-5159"", ""TCGA-B8-5162"", ""TCGA-B8-5165"", ""TCGA-B8-5549"", ""TCGA-BP-4967"", ""TCGA-BP-4970"", ""TCGA-BP-4977"", ""TCGA-BP-4986"", ""TCGA-BP-5010"", ""TCGA-BP-5174"", ""TCGA-BP-5192"", ""TCGA-BP-5196"", ""TCGA-CJ-4902"", ""TCGA-CZ-5984""]"
69,RS069,74,1,27,0.037037037037037035,1,[3],1,19,0.05263157894736842,"[""TCGA-B0-4821"", ""TCGA-B0-5085"", ""TCGA-B0-5088"", ""TCGA-B0-5106"", ""TCGA-B0-5115"", ""TCGA-B0-5117"", ""TCGA-B0-5696"", ""TCGA-B0-5697"", ""TCGA-B0-5698"", ""TCGA-B0-5703"", ""TCGA-B0-5706"", ""TCGA-B0-5712"", ""TCGA-B0-5812"", ""TCGA-B8-4148"", ""TCGA-B8-4151"", ""TCGA-B8-4153"", ""TCGA-B8-4619"", ""TCGA-B8-4622"", ""TCGA-B8-5158"", ""TCGA-B8-5159"", ""TCGA-B8-5162"", ""TCGA-B8-5164"", ""TCGA-B8-5165"", ""TCGA-B8-5546"", ""TCGA-B8-5549"", ""TCGA-B8-5550"", ""TCGA-B8-5553"", ""TCGA-B8-A54D"", ""TCGA-B8-A54E"", ""TCGA-B8-A54F"", ""TCGA-B8-A54G"", ""TCGA-BP-4770"", ""TCGA-BP-4782"", ""TCGA-BP-4965"", ""TCGA-BP-4967"", ""TCGA-BP-4970"", ""TCGA-BP-4972"", ""TCGA-BP-4976"", ""TCGA-BP-4977"", ""TCGA-BP-4982"", ""TCGA-BP-4986"", ""TCGA-BP-4989"", ""TCGA-BP-4994"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5000"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5174"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5189"", ""TCGA-BP-5190"", ""TCGA-BP-5192"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5196"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CZ-4859"", ""TCGA-CZ-4863"", ""TCGA-CZ-4865"", ""TCGA-CZ-5451"", ""TCGA-CZ-5462"", ""TCGA-CZ-5468"", ""TCGA-CZ-5984"", ""TCGA-CZ-5988""]"
70,RS070,50,1,27,0.037037037037037035,1,[5],1,19,0.05263157894736842,"[""TCGA-B0-4821"", ""TCGA-B0-5088"", ""TCGA-B0-5106"", ""TCGA-B0-5117"", ""TCGA-B0-5697"", ""TCGA-B0-5698"", ""TCGA-B0-5702"", ""TCGA-B0-5706"", ""TCGA-B0-5709"", ""TCGA-B0-5712"", ""TCGA-B8-4151"", ""TCGA-B8-4153"", ""TCGA-B8-4619"", ""TCGA-B8-5158"", ""TCGA-B8-5164"", ""TCGA-B8-5546"", ""TCGA-B8-5550"", ""TCGA-B8-5551"", ""TCGA-B8-5553"", ""TCGA-B8-A54D"", ""TCGA-B8-A54E"", ""TCGA-B8-A54F"", ""TCGA-B8-A54G"", ""TCGA-BP-4167"", ""TCGA-BP-4770"", ""TCGA-BP-4782"", ""TCGA-BP-4962"", ""TCGA-BP-4971"", ""TCGA-BP-4972"", ""TCGA-BP-4992"", ""TCGA-BP-4994"", ""TCGA-BP-5000"", ""TCGA-BP-5175"", ""TCGA-BP-5189"", ""TCGA-BP-5190"", ""TCGA-BP-5191"", ""TCGA-CJ-4637"", ""TCGA-CJ-4641"", ""TCGA-CJ-4900"", ""TCGA-CJ-4923"", ""TCGA-CJ-6027"", ""TCGA-CJ-6028"", ""TCGA-CJ-6030"", ""TCGA-CZ-4863"", ""TCGA-CZ-4865"", ""TCGA-CZ-5462"", ""TCGA-CZ-5468"", ""TCGA-CZ-5985"", ""TCGA-CZ-5988"", ""TCGA-G6-A5PC""]"
71,RS071,39,1,27,0.037037037037037035,1,[5],1,19,0.05263157894736842,"[""TCGA-B0-4712"", ""TCGA-B0-5081"", ""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5696"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-B8-4148"", ""TCGA-B8-4622"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CJ-6033"", ""TCGA-CZ-4859"", ""TCGA-CZ-5451"", ""TCGA-G6-A8L7""]"
